Latitude,Longitude,Titulo
-10.1694899,-48.3244246,SN Distribuidora
-10.255207,-48.3403643,BRAVO DISTRIBUIDORA DE BEBIDAS
-10.2297994,-48.3217982,Premium Distribuidora
-10.2621826,-48.3219851,Marcos distribuidora
-10.7218882,-48.3946524,Distribuidora Ribeiro
-10.1693663,-48.8774753,Barri distribuidora e mercearia
-10.3171511,-48.2967041,Distribuidora Brothers
-16.9666667,-50.4285378,DISTRIBUIDORA DO TESTINHA
-10.1603802,-48.3417896,Plano B Distribuidora De Bebidas
-17.8713265,-51.7278301,Adão Distribuidora de Gás
-7.269931,-48.2640716,JR Distribuidora
-8.8591801,-48.5057793,Distribuidora OG
-16.443919,-51.1110513,Distribuidora de Bebidas no Grau
-10.331178,-48.2987274,VEGAS DISTRIBUIDORA
-10.1964254,-48.3135307,Aquarius Distribuidora de Bebidas & Conveniência
-8.269455,-49.261257,DISTRIBUIDORA PORTO
-16.4513679,-51.1159585,Ponto Beer - Distribuidora de Bebidas
-10.1720523,-48.3158377,Centro Oeste Distribuidora
-16.5835359,-50.3079696,Super Almeida Distribuidora
-8.8522546,-48.5005319,ADV Distribuidora de Bebidas
-15.6634169,-55.9759344,SE Distribuidora de Alimentos LTDA
-17.7736924,-50.9184077,Fênix Comercial e Distribuidora
-10.2384229,-48.3172015,Temar Transp e Distribuidora de Bebidas
-15.8766921,-52.2632704,Up distribuidora conveniência & restaurante
-16.5215221,-50.3730085,BELLA DISTRIBUIDORA E SUPRIMENTOS CORPORATIVOS
-15.9118128,-52.2288807,NKS IMPÉRIO DISTRIBUIDORA
-17.7800231,-50.9290913,Aqui Tem. Distribuidora de água e gás ltda
-15.8931982,-52.2577412,Bello distribuidora de bebidas e gelo
-17.4463349,-51.1720962,Rei das bebidas distribuidora
-17.7713238,-50.9203531,WS EMPORIO E DISTRIBUIDORA
-17.8911602,-51.7323056,Top Distribuidora e Bar
-15.9033462,-52.2400029,E.B Distribuidora
-16.4469044,-51.1204513,"Distribuidora de Bebidas ""Dos Amigos"""
-17.8881162,-51.7132992,DISTRIBUIDORA DO GABIRU
-16.4298132,-51.1228072,BOM PREÇO distribuidora e mercearia
-16.004467,-51.3955696,Distribuidora Altas Horas
-10.1683457,-48.313548,Distribuidora de Bebidas Cerradus
-17.7982534,-50.9403644,Distribuidora de Ovos Martins e Martins
-10.1665842,-48.3196525,Distribuidora Catarinense 'Empório das Bebidas'
-10.1683353,-48.3162307,Distribuidora Deus Proverá
-8.842436,-48.5132436,Distribuidora do Tadeu
-10.2438121,-48.3127317,Rota 010 Distribuidora de Bebidas
-10.1587302,-48.3428446,Distribuidora Honorato
-10.7880404,-49.61873,Distribuidora de Bebidas Tropical
-10.3383073,-48.3230719,Águia distribuidora
-8.2634522,-49.2673925,Distribuidora de Bebidas Ametista
-8.2705825,-49.2670634,PONTO FRIO DISTRIBUIDORA DE bebidas
-10.2556197,-48.3234593,Distribuidora De Bebidas Girassol
-10.1705817,-48.3044507,Distribuidora de Bebidas Imperatins
-10.1677304,-48.3082013,Distribuidora Gold
-10.1520685,-48.3327331,Ponto certo Beer distribuidora
-10.1776199,-48.8890786,OPEN DISTRIBUIDORA
-10.1640239,-48.3465194,Puro Malte Distribuidora & Mini box
-10.1680712,-48.3449239,Distribuidora Rota 32
-10.1963877,-48.8951519,Damafrutas Distribuidora de Frutas e Verduras em Paraíso do Tocantins
-10.2467561,-48.318195,Distribuidora Magono
-9.0552396,-48.5232467,Distribuidora de bebidas jacarandá
-17.775193,-50.9105606,Distribuidora de Bebidas São João
-17.8780509,-51.7295908,Distribuidora de bebidas e Conveniência Pit stop 2
-8.0379186,-50.0248983,NOVA DISTRIBUIDORA LTDA
-10.1943377,-48.304288,Provarejo Distribuidora
-10.3039484,-48.3044424,Distribuidora de Bebidas - MOURÂO ATACAREJO
-10.3149698,-48.3108522,Forte Distribuidora
-10.1928827,-48.8861534,Box63 Distribuidora de bebidas e tabacaria
-9.5339251,-48.5866135,Corrêa distribuidora de bebidas e gás
-10.2360978,-48.3271578,Royal Distribuidora
-17.8774013,-51.6997337,Distribuidora Rei Da Gelada
-10.1625291,-48.3164701,Distribuidora Pinheiros
-17.793644,-50.9503361,Armazém Distribuidora de Bebidas
-17.8807005,-51.7043045,DISTRIBUIDORA DE BEBIDAS 3 IRMAOS
-8.7812916,-50.4720565,Distribuidora de bebidas lira
-9.5248517,-48.5903015,Distribuidora Sta Clara
-10.2412512,-48.3172417,Distribuidora Floriano
-15.8750092,-52.2660841,Prime Distribuidora e Mercearia
-16.1978698,-52.1735854,Distribuidora De Bebidas Do Negão
-16.1977359,-52.1735661,Distribuidora são joao
-15.8854008,-52.2391611,Qfrango Distribuidora de Alimentos
-17.8737883,-51.6780472,LC Gás E Distribuidora De Bebidas
